dataset,algorithm,cache_misses,total_requests,miss_ratio,empirical_competitive_ratio,improvement_vs_mark_percent,selected_cache_size,split_mode,seed,selected_hedge_learning_rate,validation_mae
omnetpp,MARK,68525,69440,0.9868231566820276,1.243129002412786,0.0,233,ratio,42,1.0,44070.07399395622
omnetpp,"HedgeFullDelayedAllExpertSoft(eta=1.0,beta=2.0)",68599,69440,0.9878888248847926,1.2444714547466575,-0.1079897847500912,233,ratio,42,1.0,44070.07399395622
sphinx3,Belady/OPT,37759,41088,0.918978777258567,1.0,8.099885608586657,65,ratio,42,1.0,16159.069855090896
sphinx3,LRU,41088,41088,1.0,1.0881644111337694,-0.0024338598583493565,65,ratio,42,1.0,16159.069855090896
sphinx3,LFU,41088,41088,1.0,1.0881644111337694,-0.0024338598583493565,65,ratio,42,1.0,16159.069855090896
sphinx3,MARK,41087,41088,0.9999756619937694,1.0881379273815517,0.0,65,ratio,42,1.0,16159.069855090896
sphinx3,"HedgeFullDelayedAllExpertSoft(eta=1.0,beta=2.0)",40239,41088,0.9793370327102804,1.0656797055006753,2.0639131598802543,65,ratio,42,1.0,16159.069855090896
xalanc,Belady/OPT,5499,8640,0.6364583333333333,1.0,30.418828293053267,241,ratio,42,1.0,48693.025309194
xalanc,LRU,8113,8640,0.9390046296296296,1.47535915621022,-2.657218777679362,241,ratio,42,1.0,48693.025309194
xalanc,LFU,7679,8640,0.8887731481481481,1.3964357155846518,2.83436669619132,241,ratio,42,1.0,48693.025309194
xalanc,MARK,7903,8640,0.914699074074074,1.4371703946172032,0.0,241,ratio,42,1.0,48693.025309194
xalanc,"HedgeFullDelayedAllExpertSoft(eta=1.0,beta=2.0)",7637,8640,0.883912037037037,1.3887979632660483,3.3658104517271923,241,ratio,42,1.0,48693.025309194
bzip,Belady/OPT,10048,20960,0.4793893129770992,1.0,41.42815505683474,355,ratio,42,1.0,37200.779846835954
bzip,LRU,17227,20960,0.821898854961832,1.714470541401274,-0.41970271058000586,355,ratio,42,1.0,37200.779846835954
bzip,LFU,19757,20960,0.9426049618320611,1.9662619426751593,-15.167589624016323,355,ratio,42,1.0,37200.779846835954
bzip,MARK,17155,20960,0.8184637404580153,1.7073049363057324,0.0,355,ratio,42,1.0,37200.779846835954
bzip,"HedgeFullDelayedAllExpertSoft(eta=1.0,beta=2.0)",17156,20960,0.8185114503816794,1.707404458598726,-0.0058292043136111,355,ratio,42,1.0,37200.779846835954
milc,Belady/OPT,69089,69600,0.9926580459770116,1.0,0.7341954022988506,512,ratio,42,0.1,61475.37817081296
milc,LRU,69600,69600,1.0,1.0073962570018382,0.0,512,ratio,42,0.1,61475.37817081296
milc,LFU,69600,69600,1.0,1.0073962570018382,0.0,512,ratio,42,0.1,61475.37817081296
milc,MARK,69600,69600,1.0,1.0073962570018382,0.0,512,ratio,42,0.1,61475.37817081296
milc,"HedgeFullDelayedAllExpertSoft(eta=0.1,beta=2.0)",69600,69600,1.0,1.0073962570018382,0.0,512,ratio,42,0.1,61475.37817081296
